Athlete,Age,Country,Year,Closing Ceremony Date,Sport,Medal and Number
Michael Phelps,23,United States,2008,2018-06-20T08:18:21Z,Swimming,Gold 8
Michael Phelps,23,United States,2008,2018-06-20T08:18:21Z,Swimming,Silver 0
Michael Phelps,23,United States,2008,2018-06-20T08:18:21Z,Swimming,Bronze 0
Michael Phelps,19,United States,2004,2018-06-20T08:18:21Z,Swimming,Gold 6
Michael Phelps,19,United States,2004,2018-06-20T08:18:21Z,Swimming,Silver 0
Michael Phelps,19,United States,2004,2018-06-20T08:18:21Z,Swimming,Bronze 2
Michael Phelps,27,United States,2012,2018-06-20T08:18:21Z,Swimming,Gold 4
Michael Phelps,27,United States,2012,2018-06-20T08:18:21Z,Swimming,Silver 2
Michael Phelps,27,United States,2012,2018-06-20T08:18:21Z,Swimming,Bronze 0
Natalie Coughlin,25,United States,2008,2018-06-20T08:18:21Z,Swimming,Gold 1
Natalie Coughlin,25,United States,2008,2018-06-20T08:18:21Z,Swimming,Silver 2
Natalie Coughlin,25,United States,2008,2018-06-20T08:18:21Z,Swimming,Bronze 3
Aleksey Nemov,24,Russia,2000,2018-06-20T08:18:21Z,Gymnastics,Gold 2
Aleksey Nemov,24,Russia,2000,2018-06-20T08:18:21Z,Gymnastics,Silver 1
Aleksey Nemov,24,Russia,2000,2018-06-20T08:18:21Z,Gymnastics,Bronze 3
Alicia Coutts,24,Australia,2012,2018-06-20T08:18:21Z,Swimming,Gold 1
Alicia Coutts,24,Australia,2012,2018-06-20T08:18:21Z,Swimming,Silver 3
Alicia Coutts,24,Australia,2012,2018-06-20T08:18:21Z,Swimming,Bronze 1
Missy Franklin,17,United States,2012,2018-06-20T08:18:21Z,Swimming,Gold 4
Missy Franklin,17,United States,2012,2018-06-20T08:18:21Z,Swimming,Silver 0
Missy Franklin,17,United States,2012,2018-06-20T08:18:21Z,Swimming,Bronze 1
Ryan Lochte,27,United States,2012,2018-06-20T08:18:21Z,Swimming,Gold 2
Ryan Lochte,27,United States,2012,2018-06-20T08:18:21Z,Swimming,Silver 2
Ryan Lochte,27,United States,2012,2018-06-20T08:18:21Z,Swimming,Bronze 1
Allison Schmitt,22,United States,2012,2018-06-20T08:18:21Z,Swimming,Gold 3
Allison Schmitt,22,United States,2012,2018-06-20T08:18:21Z,Swimming,Silver 1
Allison Schmitt,22,United States,2012,2018-06-20T08:18:21Z,Swimming,Bronze 1
Natalie Coughlin,21,United States,2004,2018-06-20T08:18:21Z,Swimming,Gold 2
Natalie Coughlin,21,United States,2004,2018-06-20T08:18:21Z,Swimming,Silver 2
Natalie Coughlin,21,United States,2004,2018-06-20T08:18:21Z,Swimming,Bronze 1
Ian Thorpe,17,Australia,2000,2018-06-20T08:18:21Z,Swimming,Gold 3
Ian Thorpe,17,Australia,2000,2018-06-20T08:18:21Z,Swimming,Silver 2
Ian Thorpe,17,Australia,2000,2018-06-20T08:18:21Z,Swimming,Bronze 0
Dara Torres,33,United States,2000,2018-06-20T08:18:21Z,Swimming,Gold 2
Dara Torres,33,United States,2000,2018-06-20T08:18:21Z,Swimming,Silver 0
Dara Torres,33,United States,2000,2018-06-20T08:18:21Z,Swimming,Bronze 3
Cindy Klassen,26,Canada,2006,2018-06-20T08:18:21Z,Speed Skating,Gold 1
Cindy Klassen,26,Canada,2006,2018-06-20T08:18:21Z,Speed Skating,Silver 2
Cindy Klassen,26,Canada,2006,2018-06-20T08:18:21Z,Speed Skating,Bronze 2
Nastia Liukin,18,United States,2008,2018-06-20T08:18:21Z,Gymnastics,Gold 1
Nastia Liukin,18,United States,2008,2018-06-20T08:18:21Z,Gymnastics,Silver 3
Nastia Liukin,18,United States,2008,2018-06-20T08:18:21Z,Gymnastics,Bronze 1
Marit Bjørgen,29,Norway,2010,2018-06-20T08:18:21Z,Cross Country Skiing,Gold 3
Marit Bjørgen,29,Norway,2010,2018-06-20T08:18:21Z,Cross Country Skiing,Silver 1
Marit Bjørgen,29,Norway,2010,2018-06-20T08:18:21Z,Cross Country Skiing,Bronze 1
Sun Yang,20,China,2012,2018-06-20T08:18:21Z,Swimming,Gold 2
Sun Yang,20,China,2012,2018-06-20T08:18:21Z,Swimming,Silver 1
Sun Yang,20,China,2012,2018-06-20T08:18:21Z,Swimming,Bronze 1
Kirsty Coventry,24,Zimbabwe,2008,2018-06-20T08:18:21Z,Swimming,Gold 1
